image_id,file_path,pixel_size,label,difficulty,left_eye,right_eye,nose,mouth
1,data\real_and_fake_face\training_real\real_00001.jpg,600x600,real,real,,,,
2,data\real_and_fake_face\training_real\real_00002.jpg,600x600,real,real,,,,
3,data\real_and_fake_face\training_real\real_00003.jpg,600x600,real,real,,,,
4,data\real_and_fake_face\training_real\real_00004.jpg,600x600,real,real,,,,
5,data\real_and_fake_face\training_real\real_00005.jpg,600x600,real,real,,,,
6,data\real_and_fake_face\training_real\real_00006.jpg,600x600,real,real,,,,
7,data\real_and_fake_face\training_real\real_00007.jpg,600x600,real,real,,,,
8,data\real_and_fake_face\training_real\real_00008.jpg,600x600,real,real,,,,
9,data\real_and_fake_face\training_real\real_00009.jpg,600x600,real,real,,,,
10,data\real_and_fake_face\training_real\real_00010.jpg,600x600,real,real,,,,
11,data\real_and_fake_face\training_real\real_00011.jpg,600x600,real,real,,,,
12,data\real_and_fake_face\training_real\real_00012.jpg,600x600,real,real,,,,
13,data\real_and_fake_face\training_real\real_00013.jpg,600x600,real,real,,,,
14,data\real_and_fake_face\training_real\real_00014.jpg,600x600,real,real,,,,
15,data\real_and_fake_face\training_real\real_00015.jpg,600x600,real,real,,,,
16,data\real_and_fake_face\training_real\real_00016.jpg,600x600,real,real,,,,
17,data\real_and_fake_face\training_real\real_00017.jpg,600x600,real,real,,,,
18,data\real_and_fake_face\training_real\real_00018.jpg,600x600,real,real,,,,
19,data\real_and_fake_face\training_real\real_00019.jpg,600x600,real,real,,,,
20,data\real_and_fake_face\training_real\real_00020.jpg,600x600,real,real,,,,
21,data\real_and_fake_face\training_real\real_00021.jpg,600x600,real,real,,,,
22,data\real_and_fake_face\training_real\real_00022.jpg,600x600,real,real,,,,
23,data\real_and_fake_face\training_real\real_00023.jpg,600x600,real,real,,,,
24,data\real_and_fake_face\training_real\real_00024.jpg,600x600,real,real,,,,
25,data\real_and_fake_face\training_real\real_00025.jpg,600x600,real,real,,,,
26,data\real_and_fake_face\training_real\real_00026.jpg,600x600,real,real,,,,
27,data\real_and_fake_face\training_real\real_00027.jpg,600x600,real,real,,,,
28,data\real_and_fake_face\training_real\real_00028.jpg,600x600,real,real,,,,
29,data\real_and_fake_face\training_real\real_00029.jpg,600x600,real,real,,,,
30,data\real_and_fake_face\training_real\real_00030.jpg,600x600,real,real,,,,
31,data\real_and_fake_face\training_real\real_00031.jpg,600x600,real,real,,,,
32,data\real_and_fake_face\training_real\real_00032.jpg,600x600,real,real,,,,
33,data\real_and_fake_face\training_real\real_00033.jpg,600x600,real,real,,,,
34,data\real_and_fake_face\training_real\real_00034.jpg,600x600,real,real,,,,
35,data\real_and_fake_face\training_real\real_00035.jpg,600x600,real,real,,,,
36,data\real_and_fake_face\training_real\real_00036.jpg,600x600,real,real,,,,
37,data\real_and_fake_face\training_real\real_00037.jpg,600x600,real,real,,,,
38,data\real_and_fake_face\training_real\real_00038.jpg,600x600,real,real,,,,
39,data\real_and_fake_face\training_real\real_00039.jpg,600x600,real,real,,,,
40,data\real_and_fake_face\training_real\real_00040.jpg,600x600,real,real,,,,
41,data\real_and_fake_face\training_real\real_00041.jpg,600x600,real,real,,,,
42,data\real_and_fake_face\training_real\real_00042.jpg,600x600,real,real,,,,
43,data\real_and_fake_face\training_real\real_00043.jpg,600x600,real,real,,,,
44,data\real_and_fake_face\training_real\real_00044.jpg,600x600,real,real,,,,
45,data\real_and_fake_face\training_real\real_00045.jpg,600x600,real,real,,,,
46,data\real_and_fake_face\training_real\real_00046.jpg,600x600,real,real,,,,
47,data\real_and_fake_face\training_real\real_00047.jpg,600x600,real,real,,,,
48,data\real_and_fake_face\training_real\real_00048.jpg,600x600,real,real,,,,
49,data\real_and_fake_face\training_real\real_00049.jpg,600x600,real,real,,,,
50,data\real_and_fake_face\training_real\real_00050.jpg,600x600,real,real,,,,
51,data\real_and_fake_face\training_real\real_00051.jpg,600x600,real,real,,,,
52,data\real_and_fake_face\training_real\real_00052.jpg,600x600,real,real,,,,
53,data\real_and_fake_face\training_real\real_00053.jpg,600x600,real,real,,,,
54,data\real_and_fake_face\training_real\real_00054.jpg,600x600,real,real,,,,
55,data\real_and_fake_face\training_real\real_00055.jpg,600x600,real,real,,,,
56,data\real_and_fake_face\training_real\real_00056.jpg,600x600,real,real,,,,
57,data\real_and_fake_face\training_real\real_00057.jpg,600x600,real,real,,,,
