,image_id,file_path,pixel_size,label,difficulty,left_eye,right_eye,nose,mouth,img_array
0,1,data\real_and_fake_face\training_real\real_00001.jpg,600x600,real,real,,,,,"[[0.78823529 0.72941176 0.36470588]
 [0.77254902 0.71372549 0.34901961]
 [0.75294118 0.69411765 0.32156863]
 ...
 [0.08235294 0.0745098  0.11764706]
 [0.09803922 0.08627451 0.12941176]
 [0.10588235 0.09411765 0.12941176]]"
1,2,data\real_and_fake_face\training_real\real_00002.jpg,600x600,real,real,,,,,"[[1.         1.         1.        ]
 [1.         1.         1.        ]
 [1.         1.         1.        ]
 ...
 [0.88235294 0.69411765 0.61568627]
 [0.88235294 0.69411765 0.61568627]
 [0.88627451 0.69803922 0.61960784]]"
2,3,data\real_and_fake_face\training_real\real_00003.jpg,600x600,real,real,,,,,"[[0.13333333 0.15294118 0.1372549 ]
 [0.14117647 0.16078431 0.14509804]
 [0.13333333 0.15294118 0.1372549 ]
 ...
 [0.36078431 0.39607843 0.42352941]
 [0.29411765 0.32941176 0.35686275]
 [0.35686275 0.39215686 0.41960784]]"
3,4,data\real_and_fake_face\training_real\real_00004.jpg,600x600,real,real,,,,,"[[0.61960784 0.5372549  0.55686275]
 [0.6627451  0.58823529 0.60392157]
 [0.69803922 0.62352941 0.63921569]
 ...
 [0.0627451  0.0745098  0.10980392]
 [0.05882353 0.0745098  0.11764706]
 [0.05882353 0.0745098  0.11764706]]"
4,5,data\real_and_fake_face\training_real\real_00005.jpg,600x600,real,real,,,,,"[[0.61568627 0.62352941 0.60392157]
 [0.61176471 0.61960784 0.6       ]
 [0.62352941 0.63137255 0.61176471]
 ...
 [0.59607843 0.5254902  0.43921569]
 [0.61176471 0.54117647 0.45490196]
 [0.63529412 0.56470588 0.47843137]]"
5,6,data\real_and_fake_face\training_real\real_00006.jpg,600x600,real,real,,,,,"[[0.06666667 0.04313725 0.04313725]
 [0.08235294 0.05882353 0.05882353]
 [0.07843137 0.05490196 0.05490196]
 ...
 [0.09803922 0.09411765 0.08627451]
 [0.11372549 0.10980392 0.10196078]
 [0.12941176 0.11372549 0.10980392]]"
6,7,data\real_and_fake_face\training_real\real_00007.jpg,600x600,real,real,,,,,"[[0.21176471 0.19607843 0.18431373]
 [0.22352941 0.20784314 0.19607843]
 [0.22352941 0.20392157 0.19215686]
 ...
 [0.38823529 0.29803922 0.2745098 ]
 [0.35686275 0.26666667 0.24313725]
 [0.3372549  0.24705882 0.21568627]]"
7,8,data\real_and_fake_face\training_real\real_00008.jpg,600x600,real,real,,,,,"[[0.25490196 0.29411765 0.29019608]
 [0.25098039 0.29019608 0.28627451]
 [0.22352941 0.2627451  0.25882353]
 ...
 [0.20392157 0.22745098 0.22745098]
 [0.20392157 0.22745098 0.22745098]
 [0.2        0.22352941 0.22352941]]"
8,9,data\real_and_fake_face\training_real\real_00009.jpg,600x600,real,real,,,,,"[[0.23137255 0.23529412 0.16470588]
 [0.21960784 0.22352941 0.15294118]
 [0.23137255 0.22745098 0.15686275]
 ...
 [0.18823529 0.16470588 0.11764706]
 [0.19607843 0.16470588 0.12156863]
 [0.19607843 0.16470588 0.12156863]]"
9,10,data\real_and_fake_face\training_real\real_00010.jpg,600x600,real,real,,,,,"[[0.58431373 0.6        0.36862745]
 [0.59215686 0.60784314 0.37647059]
 [0.59215686 0.60784314 0.37647059]
 ...
 [0.4627451  0.24313725 0.18431373]
 [0.45882353 0.23921569 0.18039216]
 [0.44705882 0.22745098 0.16862745]]"
10,11,data\real_and_fake_face\training_real\real_00011.jpg,600x600,real,real,,,,,"[[0.30980392 0.25882353 0.22352941]
 [0.30196078 0.25098039 0.21568627]
 [0.35294118 0.30196078 0.26666667]
 ...
 [0.14509804 0.02745098 0.05882353]
 [0.14901961 0.04313725 0.07058824]
 [0.10980392 0.01176471 0.03529412]]"
11,12,data\real_and_fake_face\training_real\real_00012.jpg,600x600,real,real,,,,,"[[0.98039216 0.98431373 1.        ]
 [0.98039216 0.98431373 1.        ]
 [0.98431373 0.98823529 1.        ]
 ...
 [0.87058824 0.0745098  0.29411765]
 [0.8745098  0.0745098  0.30588235]
 [0.92156863 0.14509804 0.37647059]]"
12,13,data\real_and_fake_face\training_real\real_00013.jpg,600x600,real,real,,,,,"[[0.61568627 0.82745098 0.8745098 ]
 [0.57647059 0.78039216 0.83137255]
 [0.60784314 0.81176471 0.8627451 ]
 ...
 [0.85098039 0.89019608 0.89803922]
 [0.85098039 0.89019608 0.89803922]
 [0.85490196 0.89411765 0.90196078]]"
13,14,data\real_and_fake_face\training_real\real_00014.jpg,600x600,real,real,,,,,"[[0.56078431 0.64313725 0.57647059]
 [0.55294118 0.63529412 0.56078431]
 [0.55294118 0.63529412 0.56078431]
 ...
 [0.49803922 0.35294118 0.32156863]
 [0.49019608 0.34509804 0.31372549]
 [0.49803922 0.34509804 0.31764706]]"
14,15,data\real_and_fake_face\training_real\real_00015.jpg,600x600,real,real,,,,,"[[0.5372549  0.4627451  0.34509804]
 [0.54117647 0.45882353 0.34509804]
 [0.54901961 0.45490196 0.34509804]
 ...
 [0.11372549 0.15294118 0.16078431]
 [0.11764706 0.15686275 0.16470588]
 [0.11764706 0.15294118 0.17254902]]"
15,16,data\real_and_fake_face\training_real\real_00016.jpg,600x600,real,real,,,,,"[[0.44705882 0.50588235 0.49411765]
 [0.44705882 0.50588235 0.49411765]
 [0.44705882 0.50588235 0.49411765]
 ...
 [0.14117647 0.14117647 0.13333333]
 [0.14117647 0.14117647 0.13333333]
 [0.14509804 0.14117647 0.13333333]]"
16,17,data\real_and_fake_face\training_real\real_00017.jpg,600x600,real,real,,,,,"[[0.55686275 0.37647059 0.24313725]
 [0.56078431 0.38039216 0.24705882]
 [0.57254902 0.39215686 0.2627451 ]
 ...
 [0.88627451 0.95294118 0.98431373]
 [0.8745098  0.95294118 0.99607843]
 [0.8627451  0.95686275 1.        ]]"
17,18,data\real_and_fake_face\training_real\real_00018.jpg,600x600,real,real,,,,,"[[0.75294118 0.83137255 0.82745098]
 [0.75686275 0.83529412 0.83137255]
 [0.76078431 0.83921569 0.83529412]
 ...
 [0.70980392 0.56862745 0.60784314]
 [0.70196078 0.56078431 0.6       ]
 [0.69411765 0.56470588 0.6       ]]"
18,19,data\real_and_fake_face\training_real\real_00019.jpg,600x600,real,real,,,,,"[[0.7372549  0.69019608 0.59607843]
 [0.72156863 0.68627451 0.57254902]
 [0.70588235 0.68235294 0.54901961]
 ...
 [0.26666667 0.18039216 0.1254902 ]
 [0.27058824 0.18431373 0.12941176]
 [0.26666667 0.18039216 0.1254902 ]]"
19,20,data\real_and_fake_face\training_real\real_00020.jpg,600x600,real,real,,,,,"[[0.99607843 0.99607843 0.99607843]
 [0.99607843 0.99607843 0.99607843]
 [0.99215686 0.99215686 0.99215686]
 ...
 [0.30196078 0.28627451 0.29019608]
 [0.27843137 0.2627451  0.26666667]
 [0.2627451  0.24705882 0.25098039]]"
20,21,data\real_and_fake_face\training_real\real_00021.jpg,600x600,real,real,,,,,"[[0.61568627 0.74117647 0.90196078]
 [0.62745098 0.74117647 0.90588235]
 [0.63137255 0.74509804 0.90980392]
 ...
 [0.19215686 0.11764706 0.10196078]
 [0.21568627 0.10588235 0.10196078]
 [0.24705882 0.10588235 0.12156863]]"
21,22,data\real_and_fake_face\training_real\real_00022.jpg,600x600,real,real,,,,,"[[0.35294118 0.44705882 0.34509804]
 [0.36470588 0.45882353 0.35686275]
 [0.37254902 0.46666667 0.37254902]
 ...
 [0.26666667 0.31372549 0.25882353]
 [0.25098039 0.30588235 0.23921569]
 [0.28235294 0.3372549  0.27058824]]"
22,23,data\real_and_fake_face\training_real\real_00023.jpg,600x600,real,real,,,,,"[[0.29411765 0.2627451  0.25490196]
 [0.26666667 0.24313725 0.24313725]
 [0.28627451 0.25490196 0.24705882]
 ...
 [0.43529412 0.41176471 0.36470588]
 [0.43137255 0.42352941 0.37254902]
 [0.41960784 0.41176471 0.36078431]]"
23,24,data\real_and_fake_face\training_real\real_00024.jpg,600x600,real,real,,,,,"[[0.2        0.20392157 0.21960784]
 [0.17647059 0.18039216 0.19607843]
 [0.17254902 0.17254902 0.18039216]
 ...
 [0.43137255 0.51764706 0.43529412]
 [0.45098039 0.5254902  0.44705882]
 [0.44705882 0.52156863 0.44313725]]"
24,25,data\real_and_fake_face\training_real\real_00025.jpg,600x600,real,real,,,,,"[[0.59607843 0.57647059 0.56470588]
 [0.60392157 0.58823529 0.57647059]
 [0.53333333 0.51764706 0.51372549]
 ...
 [0.11372549 0.08235294 0.0745098 ]
 [0.16862745 0.1372549  0.12941176]
 [0.21568627 0.18431373 0.17647059]]"
25,26,data\real_and_fake_face\training_real\real_00026.jpg,600x600,real,real,,,,,"[[0.74901961 0.63137255 0.52156863]
 [0.76470588 0.6745098  0.55294118]
 [0.77254902 0.70588235 0.58823529]
 ...
 [0.14901961 0.11372549 0.09411765]
 [0.14901961 0.11372549 0.09411765]
 [0.14901961 0.11372549 0.09411765]]"
26,27,data\real_and_fake_face\training_real\real_00027.jpg,600x600,real,real,,,,,"[[0.10980392 0.10980392 0.10980392]
 [0.10980392 0.10980392 0.10980392]
 [0.10980392 0.10980392 0.10980392]
 ...
 [0.32941176 0.20392157 0.14509804]
 [0.32941176 0.21568627 0.15294118]
 [0.33333333 0.22352941 0.16862745]]"
27,28,data\real_and_fake_face\training_real\real_00028.jpg,600x600,real,real,,,,,"[[0.77254902 0.75294118 0.67843137]
 [0.78823529 0.76078431 0.69803922]
 [0.79607843 0.76862745 0.70588235]
 ...
 [0.54901961 0.52156863 0.49803922]
 [0.53333333 0.51372549 0.49019608]
 [0.54509804 0.5254902  0.50196078]]"
28,29,data\real_and_fake_face\training_real\real_00029.jpg,600x600,real,real,,,,,"[[0.5254902  0.28235294 0.12156863]
 [0.57647059 0.32941176 0.16862745]
 [0.6        0.34509804 0.18039216]
 ...
 [0.83137255 0.74117647 0.67058824]
 [0.83137255 0.72941176 0.6627451 ]
 [0.82745098 0.71764706 0.6627451 ]]"
