image_id,file_path,pixel_size,label,difficulty,left_eye,right_eye,nose,mouth
1,data\real_and_fake_face\training_fake\easy_100_1111.jpg,600x600,fake,easy,1,1,1,1
2,data\real_and_fake_face\training_fake\easy_101_0010.jpg,600x600,fake,easy,0,0,1,0
3,data\real_and_fake_face\training_fake\easy_102_0101.jpg,600x600,fake,easy,0,1,0,1
4,data\real_and_fake_face\training_fake\easy_103_1111.jpg,600x600,fake,easy,1,1,1,1
5,data\real_and_fake_face\training_fake\easy_104_1000.jpg,600x600,fake,easy,1,0,0,0
6,data\real_and_fake_face\training_fake\easy_105_1100.jpg,600x600,fake,easy,1,1,0,0
7,data\real_and_fake_face\training_fake\easy_106_0011.jpg,600x600,fake,easy,0,0,1,1
8,data\real_and_fake_face\training_fake\easy_107_1011.jpg,600x600,fake,easy,1,0,1,1
9,data\real_and_fake_face\training_fake\easy_108_1111.jpg,600x600,fake,easy,1,1,1,1
10,data\real_and_fake_face\training_fake\easy_109_1111.jpg,600x600,fake,easy,1,1,1,1
11,data\real_and_fake_face\training_fake\easy_10_0001.jpg,600x600,fake,easy,0,0,0,1
12,data\real_and_fake_face\training_fake\easy_110_0001.jpg,600x600,fake,easy,0,0,0,1
13,data\real_and_fake_face\training_fake\easy_111_1101.jpg,600x600,fake,easy,1,1,0,1
14,data\real_and_fake_face\training_fake\easy_112_1001.jpg,600x600,fake,easy,1,0,0,1
15,data\real_and_fake_face\training_fake\easy_113_0011.jpg,600x600,fake,easy,0,0,1,1
16,data\real_and_fake_face\training_fake\easy_114_1110.jpg,600x600,fake,easy,1,1,1,0
17,data\real_and_fake_face\training_fake\easy_115_0010.jpg,600x600,fake,easy,0,0,1,0
18,data\real_and_fake_face\training_fake\easy_116_111.jpg,600x600,fake,easy,0,0,0,0
19,data\real_and_fake_face\training_fake\easy_117_0101.jpg,600x600,fake,easy,0,1,0,1
20,data\real_and_fake_face\training_fake\easy_118_1111.jpg,600x600,fake,easy,1,1,1,1
21,data\real_and_fake_face\training_fake\easy_119_0011.jpg,600x600,fake,easy,0,0,1,1
22,data\real_and_fake_face\training_fake\easy_11_1111.jpg,600x600,fake,easy,1,1,1,1
23,data\real_and_fake_face\training_fake\easy_120_0011.jpg,600x600,fake,easy,0,0,1,1
24,data\real_and_fake_face\training_fake\easy_121_0011.jpg,600x600,fake,easy,0,0,1,1
25,data\real_and_fake_face\training_fake\easy_122_1011.jpg,600x600,fake,easy,1,0,1,1
26,data\real_and_fake_face\training_fake\easy_123_0100.jpg,600x600,fake,easy,0,1,0,0
27,data\real_and_fake_face\training_fake\easy_124_1110.jpg,600x600,fake,easy,1,1,1,0
28,data\real_and_fake_face\training_fake\easy_125_0011.jpg,600x600,fake,easy,0,0,1,1
29,data\real_and_fake_face\training_fake\easy_126_0111.jpg,600x600,fake,easy,0,1,1,1
30,data\real_and_fake_face\training_fake\easy_127_0001.jpg,600x600,fake,easy,0,0,0,1
31,data\real_and_fake_face\training_fake\easy_128_0111.jpg,600x600,fake,easy,0,1,1,1
32,data\real_and_fake_face\training_fake\easy_129_1111.jpg,600x600,fake,easy,1,1,1,1
33,data\real_and_fake_face\training_fake\easy_12_1110.jpg,600x600,fake,easy,1,1,1,0
34,data\real_and_fake_face\training_fake\easy_130_1101.jpg,600x600,fake,easy,1,1,0,1
35,data\real_and_fake_face\training_fake\easy_131_1001.jpg,600x600,fake,easy,1,0,0,1
36,data\real_and_fake_face\training_fake\easy_132_0110.jpg,600x600,fake,easy,0,1,1,0
37,data\real_and_fake_face\training_fake\easy_133_1100.jpg,600x600,fake,easy,1,1,0,0
38,data\real_and_fake_face\training_fake\easy_134_0001.jpg,600x600,fake,easy,0,0,0,1
39,data\real_and_fake_face\training_fake\easy_135_0011.jpg,600x600,fake,easy,0,0,1,1
40,data\real_and_fake_face\training_fake\easy_136_0111.jpg,600x600,fake,easy,0,1,1,1
41,data\real_and_fake_face\training_fake\easy_137_0001.jpg,600x600,fake,easy,0,0,0,1
42,data\real_and_fake_face\training_fake\easy_138_0101.jpg,600x600,fake,easy,0,1,0,1
43,data\real_and_fake_face\training_fake\easy_139_0110.jpg,600x600,fake,easy,0,1,1,0
44,data\real_and_fake_face\training_fake\easy_13_1010.jpg,600x600,fake,easy,1,0,1,0
45,data\real_and_fake_face\training_fake\easy_140_1111.jpg,600x600,fake,easy,1,1,1,1
46,data\real_and_fake_face\training_fake\easy_141_0111.jpg,600x600,fake,easy,0,1,1,1
47,data\real_and_fake_face\training_fake\easy_142_1111.jpg,600x600,fake,easy,1,1,1,1
48,data\real_and_fake_face\training_fake\easy_143_0011.jpg,600x600,fake,easy,0,0,1,1
49,data\real_and_fake_face\training_fake\easy_144_1111.jpg,600x600,fake,easy,1,1,1,1
50,data\real_and_fake_face\training_fake\easy_145_1000.jpg,600x600,fake,easy,1,0,0,0
51,data\real_and_fake_face\training_fake\easy_146_1110.jpg,600x600,fake,easy,1,1,1,0
52,data\real_and_fake_face\training_fake\easy_147_1110.jpg,600x600,fake,easy,1,1,1,0
53,data\real_and_fake_face\training_fake\easy_148_0011.jpg,600x600,fake,easy,0,0,1,1
54,data\real_and_fake_face\training_fake\easy_149_1001.jpg,600x600,fake,easy,1,0,0,1
55,data\real_and_fake_face\training_fake\easy_14_1111.jpg,600x600,fake,easy,1,1,1,1
56,data\real_and_fake_face\training_fake\easy_150_0011.jpg,600x600,fake,easy,0,0,1,1
57,data\real_and_fake_face\training_fake\easy_151_1110.jpg,600x600,fake,easy,1,1,1,0
58,data\real_and_fake_face\training_fake\easy_152_0011.jpg,600x600,fake,easy,0,0,1,1
59,data\real_and_fake_face\training_fake\easy_153_1110.jpg,600x600,fake,easy,1,1,1,0
60,data\real_and_fake_face\training_fake\easy_154_1100.jpg,600x600,fake,easy,1,1,0,0
61,data\real_and_fake_face\training_fake\easy_155_0011.jpg,600x600,fake,easy,0,0,1,1
62,data\real_and_fake_face\training_fake\easy_156_0010.jpg,600x600,fake,easy,0,0,1,0
63,data\real_and_fake_face\training_fake\easy_157_1110.jpg,600x600,fake,easy,1,1,1,0
64,data\real_and_fake_face\training_fake\easy_158_0011.jpg,600x600,fake,easy,0,0,1,1
65,data\real_and_fake_face\training_fake\easy_159_1111.jpg,600x600,fake,easy,1,1,1,1
66,data\real_and_fake_face\training_fake\easy_15_0011.jpg,600x600,fake,easy,0,0,1,1
67,data\real_and_fake_face\training_fake\easy_160_0011.jpg,600x600,fake,easy,0,0,1,1
